IMMR_code,Disease,live_m_17-49,live_m_50-69,live_m_70+,live_m_NA,live_m_Total,year
128,"Acute myocardial infarction (I21,I22)",5563.9999999999909,16263.99999999998,7638.0000000000045,18,29514.00000000004,2020
129,"Other ischaemic heart disease (I20,I23-I25)",6934,19683.000000000015,9482.0000000000055,18.000000000000021,36171.000000000015,2020
130,Pulmonary embolism (I26),68.000000000000099,76,29.000000000000099,0,174,2020
131,Cor pulmonale (I27.9),24.999999999999947,121.00000000000014,99,3,248.99999999999991,2020
132,Heart failure (I50),808.00000000000091,3885.0000000000027,2951.9999999999968,5.0000000000000089,7672.9999999999973,2020
134,Cerebroavascular disease (I60-I69),3566.0000000000036,14677.999999999969,11295.999999999985,68.000000000000057,29695.000000000022,2020
135,Atherosclerosis (I70),26.000000000000014,54.000000000000028,31.000000000000025,0,113.0000000000002,2020
136,Arterial embolism and thrombosis (I74),18,20.000000000000036,10.000000000000043,0,48.000000000000036,2020
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",362.0000000000004,1011.0000000000009,391.99999999999949,0,1783.0000000000027,2020
125,Essential hypertension (I10),5220.9999999999955,11707,7341.9999999999927,12,24359.999999999982,2021
126,Hypertensive heart disease (I11),487.00000000000011,751,393,7.0000000000000071,1643,2021
127,Other hypertensive diseases (I12-I15),192.99999999999991,386.99999999999977,204.00000000000006,1.0000000000000002,805.99999999999977,2021
128,"Acute myocardial infarction (I21,I22)",5835.00000000001,16260.000000000013,7399.9999999999964,48.999999999999893,29554,2021
129,"Other ischaemic heart disease (I20,I23-I25)",6220.9999999999818,16439.000000000025,7522.0000000000173,11,30235.999999999996,2021
130,Pulmonary embolism (I26),31.000000000000007,58.000000000000007,27,0,116.00000000000009,2021
131,Cor pulmonale (I27.9),46.000000000000007,110.00000000000001,79.000000000000014,1,237.99999999999986,2021
132,Heart failure (I50),867.99999999999966,3661.9999999999955,2502.9999999999964,1.0000000000000013,7063,2021
134,Cerebroavascular disease (I60-I69),3596.0000000000005,13483.000000000009,10041.000000000009,36,27258.999999999975,2021
135,Atherosclerosis (I70),31,65.000000000000014,18.000000000000007,0,119.00000000000004,2021
136,Arterial embolism and thrombosis (I74),23,13,5.0000000000000009,0,44.000000000000014,2021
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",430.00000000000011,1206.0000000000009,469,0,2120.9999999999982,2021
125,Essential hypertension (I10),7217.9999999999918,17210.999999999985,10789.999999999991,22.000000000000014,35343.000000000015,2022
126,Hypertensive heart disease (I11),322.00000000000017,675,420,1,1419,2022
127,Other hypertensive diseases (I12-I15),209.00000000000014,556,288.99999999999983,1,1083.9999999999998,2022
128,"Acute myocardial infarction (I21,I22)",7126.9999999999973,19972.999999999993,9459.9999999999927,31.000000000000018,36631.000000000015,2022
129,"Other ischaemic heart disease (I20,I23-I25)",7760.9999999999964,21161,10136.000000000016,11.000000000000007,39151.999999999964,2022
130,Pulmonary embolism (I26),41,70,34,0,146.00000000000003,2022
131,Cor pulmonale (I27.9),13.000000000000002,133.00000000000003,116,0,262,2022
132,Heart failure (I50),1147.0000000000025,5003.0000000000155,3577.9999999999991,5.0000000000000053,9789,2022
134,Cerebroavascular disease (I60-I69),4506,16796.000000000015,12807.000000000011,54,34245,2022
135,Atherosclerosis (I70),40,130,54.000000000000021,0,224.00000000000009,2022
136,Arterial embolism and thrombosis (I74),25.000000000000014,32,10.000000000000004,0,71.000000000000028,2022
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",437.00000000000034,1245.9999999999998,523,0,2227.9999999999986,2022
125,Essential hypertension (I10),6740,15215,9677,614,32246,2005
126,Hypertensive heart disease (I11),628,1255,747,126,2756,2005
127,Other hypertensive diseases (I12-I15),656,1134,654,150,2594,2005
128,"Acute myocardial infarction (I21,I22)",2322,4681,1912,175,9090,2005
129,"Other ischaemic heart disease  (I20,I23-I25)",6142,13498,7203,409,27252,2005
130,Pulmonary embolism (I26),101,160,108,22,391,2005
131,Cor pulmonale (I27.9),132,374,314,26,846,2005
132,Heart failure (I50),669,2173,1860,118,4820,2005
134,Cerebroavascular disease (I60-I69),1695,5466,4274,149,11584,2005
135,Atherosclerosis (I70),48,114,122,4,288,2005
136,Arterial embolism and thrombosis (I74),44,66,65,11,186,2005
137,"Other diseases of arteries, artherosclerosis and capillaries",242,309,154,25,730,2005
125,Essential hypertension (I10),7359,16191,9982,648,34180,2006
126,Hypertensive heart disease (I11),633,1208,702,91,2634,2006
127,Other hypertensive diseases (I12-I15),649,1209,678,117,2653,2006
128,"Acute myocardial infarction (I21,I22)",2307,5110,2055,100,9572,2006
129,"Other ischaemic heart disease  (I20,I23-I25)",7079,16634,8307,335,32355,2006
130,Pulmonary embolism (I26),25,36,22,5,88,2006
131,Cor pulmonale (I27.9),94,310,206,10,620,2006
