IMMR_code,Disease,live_f_17-49,live_f_50-69,live_f_70+,live_f_NA,live_f_Total,year
076,Malignant neoplasm of thyroid gland (C73),947,563.00000000000023,159.99999999999963,0,1692.0000000000005,2017
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",386.99999999999903,574,203.99999999999974,0,1355.9999999999993,2017
078,Hodgkin's disease (C81),283.00000000000045,126.9999999999999,60,0,556.0000000000008,2017
079,Leukaemia (C91-C95),625.00000000000011,637.00000000000023,215.00000000000011,0,4014.0000000000023,2017
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",804.00000000000114,2021.000000000002,715.99999999999932,0,3652.9999999999959,2017
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",452.00000000000034,1216,515.00000000000023,0,2223.9999999999995,2018
051,Malaignant neoplasm of oesophagus (C15),245.00000000000023,1531.9999999999995,830.00000000000011,0,2616.9999999999986,2018
052,Malignant neoplasm of stomach (C16),116.99999999999976,313.99999999999972,116.99999999999984,0,550.0000000000008,2018
053,Malignant neoplasm of colon (C18),801.99999999999909,1973.0000000000009,424.99999999999977,0,3205.0000000000041,2018
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",658.99999999999739,1946.9999999999977,710.00000000000011,0,3328.9999999999986,2018
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),87.999999999999901,345.00000000000034,151.00000000000017,2.0000000000000044,660.99999999999977,2018
056,Malignant neoplasm of pancreas (C25),69.999999999999929,302.00000000000017,76.000000000000284,0,451.00000000000074,2018
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",70.999999999999943,274.00000000000034,95.000000000000355,0,444.99999999999989,2018
058,Malignant neoplasm of larnyx (C32),30.000000000000043,126.99999999999991,61,0,220.00000000000051,2018
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",530.00000000000045,1296.0000000000016,388.99999999999949,0,2220.9999999999995,2018
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",238,92.999999999999915,28.000000000000032,0,363.99999999999966,2018
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",237.00000000000028,113.99999999999986,36.000000000000078,0,771.99999999999932,2018
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",95.000000000000156,205,79.000000000000156,0,388.99999999999932,2018
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",366.00000000000136,605.00000000000136,110,0,1400.0000000000034,2018
064,Malignant neoplasm of breast (C50),7149.99999999999,12193.000000000007,2098.0000000000009,0,21461.999999999993,2018
065,Malignant neoplasm of cervix uteri (C53),1027.0000000000007,3111.0000000000014,796.00000000000091,0,4940.0000000000146,2018
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",426.99999999999949,2026.0000000000027,486.99999999999983,0,2950.9999999999977,2018
067,Malignant neoplasm of placenta (C58),54.999999999999872,6.0000000000000027,1.0000000000000024,0,63.999999999999879,2018
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",2406.0000000000032,6331.9999999999955,1242.999999999998,1.0000000000000009,10094.999999999995,2018
069,Malignant neoplasm of prostate (C61),0,0,0,0,0,2018
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",0,0,0,0,0,2018
071,Malignant neoplasm of bladder (C67),81.999999999999844,300.99999999999949,153.0000000000002,0,540.00000000000114,2018
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",97.000000000000057,178.00000000000009,74.000000000000071,0,494.00000000000017,2018
073,Malignant neoplasm of eye and adnexa (C69),10.000000000000007,23.000000000000025,7.0000000000000027,0,201.00000000000065,2018
074,Malignant neoplasm of brain (C71),264,221.99999999999937,53.999999999999929,0,732.99999999999886,2018
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",37.000000000000142,31,21.000000000000046,0,95,2018
076,Malignant neoplasm of thyroid gland (C73),978.99999999999886,647.99999999999955,156.00000000000006,0,1805.999999999993,2018
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",472.00000000000131,713.00000000000023,238.9999999999998,0,1608.9999999999986,2018
078,Hodgkin's disease (C81),169.99999999999983,169.00000000000028,64,0,421.99999999999949,2018
079,Leukaemia (C91-C95),762.99999999999898,840.00000000000205,229.99999999999977,0,4474.99999999999,2018
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",1194.9999999999989,2687.9999999999995,916.99999999999932,0,5001.9999999999982,2018
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",490.9999999999996,1071.0000000000009,519.00000000000102,0,2123.9999999999986,2019
051,Malaignant neoplasm of oesophagus (C15),248.00000000000043,1673.000000000003,898,0,2833.9999999999941,2019
052,Malignant neoplasm of stomach (C16),115.0000000000001,326.00000000000063,115.99999999999979,0,556.99999999999943,2019
053,Malignant neoplasm of colon (C18),736.00000000000102,2065.0000000000032,488.99999999999983,0,3295.0000000000127,2019
054,"Malignant neoplasm of rectosigmoid junction,rectum, anus and anal canal (C19-C21)",739.99999999999932,1997.9999999999966,624.99999999999943,0,3367.9999999999923,2019
055,Malignant neoplasm of liver and intrahepatic bile duct (C22),134.00000000000006,354.9999999999992,167.99999999999983,0,730.99999999999898,2019
056,Malignant neoplasm of pancreas (C25),71,309.00000000000028,55.000000000000085,0,436.99999999999972,2019
057,"Other malignant neoplasm of digestive organs (C17,C23,C24,C26)",43.000000000000078,269.00000000000045,74.999999999999844,0,394.0000000000004,2019
058,Malignant neoplasm of larnyx (C32),30.000000000000131,105,44.00000000000005,0,181.00000000000026,2019
059,"Malignant neoplasm of trachea, bronchus and lung (C33-C34)",492.99999999999875,1451.0000000000023,411.99999999999949,0,2370.999999999995,2019
060,"Malignant neoplasm of other respiratory and intrathoracic organs (C30,C31,C37-C39)",167,107.00000000000013,41.000000000000107,0,326.99999999999977,2019
061,"Malignant neoplasm of bone and articular cartilage (C40,C41)",266.00000000000011,90.999999999999645,33.000000000000028,0,759.99999999999807,2019
062,"Melanoma and other malignant neoplasm of skin (C43,C44)",116,194.00000000000003,118.9999999999998,1.0000000000000031,440.00000000000114,2019
063,"Malignant neoplasm of masothelial and soft  tissue (C45,C49)",387.99999999999943,513,126,0,1261.9999999999989,2019
064,Malignant neoplasm of breast (C50),7316.0000000000191,13333.000000000004,2287.0000000000023,3,22965.000000000029,2019
065,Malignant neoplasm of cervix uteri (C53),1079.9999999999998,3039.9999999999959,887.99999999999977,0,5012.9999999999854,2019
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",384,1922.9999999999993,474.99999999999898,0,2788.0000000000023,2019
067,Malignant neoplasm of placenta (C58),66.999999999999943,7.0000000000000071,1.0000000000000053,0,77.000000000000114,2019
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",2304.0000000000005,6431.9999999999918,1231.9999999999993,1.0000000000000029,10027,2019
069,Malignant neoplasm of prostate (C61),0,0,0,0,0,2019
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",0,0,0,0,0,2019
071,Malignant neoplasm of bladder (C67),82.000000000000171,306.99999999999949,146.00000000000043,0,536.99999999999932,2019
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",62,173.00000000000034,49.000000000000128,0,443,2019
073,Malignant neoplasm of eye and adnexa (C69),11,20,9.0000000000000213,0,182.99999999999983,2019
074,Malignant neoplasm of brain (C71),213.99999999999991,207.99999999999974,38,0,670.99999999999966,2019
