IMMR_code,Disease,live_m_17-49,live_m_50-69,live_m_70+,live_m_NA,live_m_Total,year
064,Malignant neoplasm of breast (C50),72.999999999999858,183.99999999999977,60.000000000000121,0,322.00000000000034,2016
065,Malignant neoplasm of cervix uteri (C53),0,0,0,0,0,2016
066,"Malignant neoplasm of other and unspecified parts of uterus (C54,C55)",0,0,0,0,0,2016
067,Malignant neoplasm of placenta (C58),0,0,0,0,0,2016
068,"Malignant neoplasm of female genital organs (C51,C52,C56,C57)",0,0,0,0,0,2016
069,Malignant neoplasm of prostate (C61),39.000000000000036,1058.000000000002,1366.9999999999984,0,2468.9999999999955,2016
070,"Malignant neoplasm of other male genital organs (C60,C62,C63)",222.99999999999986,226.99999999999977,93.999999999999872,0,615.00000000000136,2016
071,Malignant neoplasm of bladder (C67),165.99999999999972,1204.999999999998,705.99999999999841,0,2090.9999999999995,2016
072,"Malignant neoplasm of other parts of the urinary tract (C64-C66,C68)",111.0000000000001,295.00000000000011,116.99999999999987,0,648.00000000000102,2016
073,Malignant neoplasm of eye and adnexa (C69),7.0000000000000178,13,3,0,133.0000000000002,2016
074,Malignant neoplasm of brain(C71),303.00000000000011,370.00000000000006,61,0,952.00000000000261,2016
075,"Malignant neoplasm of other parts of the central nervous system (C70,C72)",28.00000000000006,46.000000000000078,9.0000000000000124,0,86,2016
076,Malignant neoplasm of thyroid gland (C73),201.00000000000045,266.00000000000028,81.999999999999872,0,566.99999999999966,2016
077,"Malignant neoplasm of other endocrine, ill-defined, secondary and unspecified sites (C74-C80,C97)",382.99999999999915,1054.9999999999993,343.00000000000063,0,1958.9999999999945,2016
078,Hodgkin's disease (C81),360.99999999999909,235.99999999999983,63.000000000000128,0,770.99999999999943,2016
079,Leukaemia (C91-C95),1347.9999999999995,659.0000000000008,324.00000000000051,0,7082.0000000000136,2016
080,"Malignant neoplasm of other lymphoid haematopoietic and related tissue (C82-C85,C88-C90,C96)",1088.9999999999993,2489.0000000000014,846.00000000000114,1.0000000000000036,4630.0000000000073,2016
050,"Malignant neoplasm of lip, oral cavity and pharynx (C00-C14)",1477.9999999999952,5855.0000000000036,1236.0000000000005,1.0000000000000042,8629.0000000000036,2017
051,Malaignant neoplasm of oesophagus (C15),356.99999999999926,2454.0000000000018,651.99999999999966,0,3473.9999999999873,2017
